Date,Num_Rides
2021-10-07,118556
2021-10-08,120242
2021-10-09,116817
2021-10-10,93850
2021-10-11,86890
2021-10-12,108054
2021-10-13,112723
2021-10-14,121767
2021-10-15,124091
2021-10-16,121955
2021-10-17,100790
2021-10-18,103856
2021-10-19,110716
2021-10-20,119077
2021-10-21,122809
2021-10-22,122858
2021-10-23,119757
2021-10-24,98929
2021-10-25,99949
2021-10-26,101866
2021-10-27,119847
2021-10-28,125607
2021-10-29,130631
2021-10-30,119589
2021-10-31,102263
2021-11-01,106486
2021-11-02,115847
2021-11-03,121837
2021-11-04,127917
2021-11-05,129921
2021-11-06,131460
2021-11-07,100647
2021-11-08,106822
2021-11-09,118745
2021-11-10,126617
2021-11-11,123715
2021-11-12,128010
2021-11-13,132310
2021-11-14,109696
2021-11-15,114815
2021-11-16,122700
2021-11-17,126605
2021-11-18,133377
2021-11-19,135462
2021-11-20,131453
2021-11-21,105078
2021-11-22,112469
2021-11-23,120235
2021-11-24,108408
2021-11-25,70312
2021-11-26,89887
2021-11-27,104505
2021-11-28,90990
2021-11-29,107130
2021-11-30,119366
2021-12-01,121986
2021-12-02,128647
2021-12-03,136231
2021-12-04,132392
2021-12-05,109654
2021-12-06,112665
2021-12-07,126649
2021-12-08,131662
2021-12-09,134724
2021-12-10,133497
2021-12-11,130247
2021-12-12,107167
2021-12-13,111299
2021-12-14,120218
2021-12-15,125048
2021-12-16,126270
2021-12-17,124147
2021-12-18,110279
2021-12-19,91200
2021-12-20,94213
2021-12-21,93093
2021-12-22,91699
2021-12-23,87850
2021-12-24,69619
2021-12-25,40807
2021-12-26,54705
2021-12-27,69897
2021-12-28,75037
2021-12-29,74989
2021-12-30,77968
2021-12-31,70402
2022-01-01,63441
2022-01-02,58421
2022-01-03,72405
2022-01-04,74562
2022-01-05,74592
2022-01-06,79909
2022-01-07,71590
2022-01-08,83177
2022-01-09,64014
2022-01-10,73692
2022-01-11,77603
2022-01-12,80352
2022-01-13,84952
2022-01-14,93817
2022-01-15,88704
2022-01-16,72783
2022-01-17,63518
2022-01-18,84603
2022-01-19,86640
2022-01-20,90778
2022-01-21,101054
2022-01-22,96587
2022-01-23,76914
2022-01-24,78541
2022-01-25,87349
2022-01-26,96747
2022-01-27,99766
2022-01-28,95873
2022-01-29,34388
2022-01-30,71229
2022-01-31,85878
2022-02-01,92354
2022-02-02,92576
2022-02-03,104562
2022-02-04,110309
2022-02-05,116980
2022-02-06,88141
2022-02-07,88867
2022-02-08,102781
2022-02-09,106089
2022-02-10,112804
2022-02-11,117752
2022-02-12,119684
2022-02-13,93022
2022-02-14,110542
2022-02-15,110483
2022-02-16,110268
2022-02-17,113142
2022-02-18,116275
2022-02-19,114374
2022-02-20,95331
2022-02-21,85869
2022-02-22,101395
2022-02-23,112205
2022-02-24,119890
2022-02-25,118228
2022-02-26,123056
2022-02-27,100167
2022-02-28,102221
2022-03-01,113947
2022-03-02,119863
2022-03-03,129290
2022-03-04,128505
2022-03-05,120368
2022-03-06,95853
2022-03-07,99695
2022-03-08,117165
2022-03-09,120056
2022-03-10,124861
2022-03-11,129455
